Consonant,ITC
Sibilants,0.057972637
Sibilants,0.068976204
Sibilants,0.02519738
Sibilants,0.052662185
Sibilants,0.048250518
Sibilants,0.054227734
Sibilants,0.032264944
Sibilants,0.133267691
Sibilants,0.024721383
Sibilants,0.039280674
Sibilants,0.080658206
Sibilants,0.02877976
Sibilants,0.011148069
Sibilants,0.046113331
Sibilants,0.055193652
Sibilants,-0.027260901
Sibilants,0.02393974
Sibilants,0.042004707
Sibilants,0.062862139
Sibilants,0.107972296
Sibilants,0.049688047
Sibilants,0.012018713
Sibilants,0.033992935
Sibilants,0.088643063
Sibilants,0.039429291
Nasals,0.024312054
Nasals,0.018616073
Nasals,0.044213016
Nasals,0.030834352
Nasals,0.054680539
Nasals,0.006389827
Nasals,0.096559429
Nasals,0.024412841
Nasals,0.134974517
Nasals,0.040919815
Nasals,0.160024912
Nasals,-0.00556427
Nasals,0.018237611
Nasals,0.069872734
Nasals,-0.061614346
Nasals,0.042248437
Nasals,0.033951394
Nasals,0.038313411
Nasals,0.012559903
Nasals,0.095075471
Nasals,0.003309589
Nasals,0.041480863
Nasals,0.007984213
Nasals,0.06691536
Nasals,0.076407604
Stops,0.014158
Stops,0.075830538
Stops,0.033668971
Stops,0.023211004
Stops,0.079370517
Stops,0.033352823
Stops,0.032450321
Stops,0.083711265
Stops,0.055995153
Stops,0.042994336
Stops,0.127493201
Stops,-0.010247096
Stops,0.016267343
Stops,0.03286031
Stops,0.004988971
Stops,-0.024577673
Stops,0.029246866
Stops,0.025620036
Stops,0.026950886
Stops,0.079009717
Stops,0.048615502
Stops,0.043334429
Stops,0.044494959
Stops,0.053429351
Stops,0.056133907