Subject,Vowel,B,D,G,K,P,T,M,N,S,Z,L,R,F,V
1,1.866105916,2.442438225,2.129183391,2.101893954,1.721258282,2.34583354,1.473578532,1.212718717,2.081657084,1.403895228,1.213146274,1.154671348,1.026866487,1.497512515,1.016490894
2,1.267767596,2.282485084,2.336336648,2.561635239,2.288868028,2.141481943,2.158788768,2.036631495,2.232847316,2.286686798,2.350167008,3.598719292,2.001574528,2.235798047,1.415040629
3,0.977589521,2.060847191,1.890948458,0.765740594,1.218701821,1.360006012,2.306626862,1.368785839,1.574073298,1.935285526,1.24875394,1.74160869,1.662641423,2.72099334,2.17E+00
4,2.748133312,3.322787636,2.884416359,3.341615348,1.596401833,2.752663782,2.984442538,2.292005036,2.561784546,1.684603586,1.366419497,2.005782047,2.518318959,1.412392416,1.63584164
5,2.57088306,2.915391046,2.694238624,3.093493876,2.573484773,4.732965155,1.972590447,3.551390273,5.083760499,3.35373666,4.485993552,3.150731919,4.918427733,2.885462814,2.219588857
6,2.170443722,1.420658554,3.543849292,1.323356793,0.989383824,1.917548541,2.200175255,2.378535084,1.597837522,1.56362447,1.487376253,2.274118208,2.146622572,1.673101782,0.840217186
7,4.000736526,4.223780545,1.678578724,2.663755505,2.175119418,2.849780447,3.004844307,3.588113832,2.099147684,1.911672834,2.213704367,1.564394,2.405645774,3.426527653,1.952726843
8,2.96600537,4.060715706,3.572083455,3.048472077,3.009803426,3.267307455,2.489309383,6.189347826,3.785311914,2.579710359,2.271007022,3.55977092,3.277381856,2.459401428,3.620644809
9,7.721162368,4.36842606,4.451071998,2.768249892,5.209430293,7.569000837,6.675578919,6.602623535,5.406641095,4.223590248,4.3894104,5.798716335,6.945368741,3.419305581,2.84926133
10,2.527639527,2.61375149,1.819571121,2.028199517,1.224995828,1.58828671,2.871371593,2.58642033,2.026007759,1.459076294,1.700588434,2.496357423,2.822551013,1.019550095,1.575462794
11,2.385817114,1.79870946,3.248048508,4.881669082,2.085919453,2.760208839,2.647654249,2.562370381,1.500844528,1.717887317,2.740165396,4.033989546,2.593620182,2.114548699,4.451120838
12,4.278484237,3.039531562,2.979853775,4.41323912,5.325148092,2.6370503,5.795392667,6.003820339,5.454708622,2.573214976,2.134496569,2.482563766,2.609941508,4.225243,3.241964186
13,4.71877633,6.41542304,6.344279022,2.989211608,2.80190108,3.906054456,4.407958195,7.158423349,3.735343206,3.328091721,4.1004205,4.259279847,2.284757476,5.893165782,4.842155731
14,2.239562186,4.230789166,3.089176249,3.094111633,1.71263438,2.133263718,4.759127987,3.117309546,2.084052816,1.834798138,1.541213875,2.085316346,2.450777411,5.436470895,1.73041064
15,9.6269007,8.630132467,7.051701711,10.26073605,9.471635905,6.241939083,5.953442112,8.080356919,18.5781184,4.643327669,3.484295091,17.74414903,9.339492443,5.369418702,8.851719117
16,2.998289251,3.405957032,3.659657962,3.236872796,2.679655095,2.407304401,3.150561015,1.702236626,1.884919675,4.884956668,1.913300367,1.403385554,2.687640871,1.997930873,4.43805467
17,3.411510293,1.870321153,2.722467993,2.381503962,1.800403466,2.742575432,3.247874709,2.230029639,3.114549774,2.115617139,1.688483799,2.445779428,2.478174858,2.658021876,2.963734284
18,3.430689371,6.497175869,3.303324649,3.37511079,2.731532713,2.039645369,3.241709282,2.160744968,2.640827818,1.928622247,2.209506131,2.414688703,3.489770253,2.070677738,1.495235893
19,1.399380313,1.703616429,1.611986405,1.470760357,1.424318726,1.311724976,2.400901699,3.632317914,3.740405236,1.032101706,1.031640351,1.793665118,2.333411564,1.275084804,1.137990676
20,1.489737267,1.687813347,1.198805876,1.712328273,1.220630391,1.862667022,1.712889544,4.331529903,3.779349194,1.020144609,1.354515836,3.984632385,1.580824694,2.090209801,1.427961625
21,3.664364329,2.05582835,2.081940479,2.243704252,3.396951836,2.314118365,2.732611132,1.994590715,2.51700184,1.676667745,1.610342933,4.657724414,1.861235313,2.864580052,1.82510334
22,3.889902532,2.91107416,3.917180115,3.169376246,2.414842228,2.817570962,2.949401917,4.431395875,2.204361034,3.622113484,4.120392051,2.674485836,3.677436643,2.573052247,4.067366118
23,2.939779055,4.281485502,3.516565329,1.70872833,1.961915644,3.083972728,2.33814065,3.702891754,3.511711041,4.847080728,3.658283614,4.603847069,2.360099411,3.205553609,3.887757756
24,5.082733121,3.520909282,4.439779082,3.144945879,2.079965304,3.628384194,2.159181186,2.087547649,3.99136665,2.284787426,2.226311756,3.113411373,4.607605683,2.854486844,3.684692878
25,2.409110231,4.099116,2.584831516,2.519844554,2.337976865,2.645369802,1.496313234,2.928389229,2.536604723,1.933767782,1.586368572,1.857549411,1.692925908,1.810386869,2.525261992