Consonant,Power
Sibilants,1.282761228
Sibilants,2.071923121
Sibilants,2.019789663
Sibilants,1.524814285
Sibilants,3.236195471
Sibilants,1.391079923
Sibilants,2.376157924
Sibilants,2.732690904
Sibilants,3.72039189
Sibilants,1.438669405
Sibilants,2.755930563
Sibilants,3.043729683
Sibilants,4.540958434
Sibilants,2.635723387
Sibilants,5.587190145
Sibilants,3.308560644
Sibilants,2.356464274
Sibilants,1.926010502
Sibilants,1.119204384
Sibilants,1.473207968
Sibilants,1.994173518
Sibilants,3.595730975
Sibilants,3.899668926
Sibilants,2.762569726
Sibilants,1.963946304
Nasals,1.368978409
Nasals,2.467443158
Nasals,1.586777313
Nasals,2.344472647
Nasals,4.176077606
Nasals,2.099278347
Nasals,2.414325322
Nasals,4.202953129
Nasals,6.188337427
Nasals,2.482834132
Nasals,2.672706159
Nasals,4.137758558
Nasals,4.359450969
Nasals,2.434364029
Nasals,13.4355292
Nasals,1.919545682
Nasals,2.567133425
Nasals,2.676507935
Nasals,2.874949958
Nasals,3.419084044
Nasals,2.757638071
Nasals,3.246919847
Nasals,3.544637319
Nasals,3.449982839
Nasals,2.253867318
Stops,2.035697654
Stops,2.294932619
Stops,1.60047849
Stops,2.813721249
Stops,2.99702732
Stops,1.899162043
Stops,2.765976491
Stops,3.241281917
Stops,5.173626333
Stops,2.02436271
Stops,2.903701599
Stops,4.031702586
Stops,4.477471234
Stops,3.169850522
Stops,7.934931221
Stops,3.090001384
Stops,2.460857786
Stops,3.531416445
Stops,1.653884765
Stops,1.565855742
Stops,2.470859069
Stops,3.029907605
Stops,2.815134697
Stops,3.162194155
Stops,2.613908662